adm_area;district;location;number_of_access_points
Центральный административный округ;Пресненский район;город Москва, Вознесенский переулок, дом 16/4;2
Центральный административный округ;Пресненский район;город Москва, Вознесенский переулок, дом 9, строение 3;2
Центральный административный округ;Красносельский район;город Москва, Волховский переулок, дом 21/23;4
Центральный административный округ;район Хамовники;город Москва, улица 10-летия Октября, дом 11;4
Центральный административный округ;район Хамовники;город Москва, улица 10-летия Октября, дом 2, строение 1;2
Центральный административный округ;район Хамовники;город Москва, улица 10-летия Октября, дом 5;2
Центральный административный округ;Пресненский район;город Москва, улица 1905 Года, дом 2, строение 1;2
Центральный административный округ;Пресненский район;город Москва, улица 1905 Года, дом 3;2
Центральный административный округ;Пресненский район;город Москва, улица 1905 Года, дом 7, строение 1;6
Центральный административный округ;Пресненский район;город Москва, улица 1905 Года, дом 1;2
Центральный административный округ;Таганский район;город Москва, Абельмановская улица, дом 11;2
Центральный административный округ;Таганский район;город Москва, Абельмановская улица, дом 3;2
Центральный административный округ;Таганский район;город Москва, Абельмановская улица, дом 5;1
Центральный административный округ;район Якиманка;город Москва, улица Академика Петровского, дом 5, строение 1;2
Центральный административный округ;Красносельский район;город Москва, проспект Академика Сахарова, дом 12;1
Центральный административный округ;Красносельский район;город Москва, Ананьевский переулок, дом 5, строение 12;1
Центральный административный округ;Красносельский район;город Москва, Ананьевский переулок, дом 5, строение 4;2
Центральный административный округ;Красносельский район;город Москва, Ананьевский переулок, дом 5, строение 6;1
Центральный административный округ;Красносельский район;город Москва, Ананьевский переулок, дом 5, строение 7;2
Центральный административный округ;Таганский район;город Москва, Малая Андроньевская улица, дом 24;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 12, строение 2;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 26;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 31;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 37/2, строение 1;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 38/1, строение 2;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 4, строение 1;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 40;2
Центральный административный округ;Таганский район;город Москва, улица Арбат, дом 43;1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 45/24;1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 47/23;1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 51, строение 1;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 54/2, строение 1;3
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 54/2, строение 8;2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 55/32;1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 9, строение 1;2
Центральный административный округ;Басманный район;город Москва, Армянский переулок, дом 7;2
Центральный административный округ;Басманный район;город Москва, Армянский переулок, дом 9, строение 1;2
Центральный административный округ;Басманный район;город Москва, Архангельский переулок, дом 11/16, строение 1;2
Центральный административный округ;Басманный район;город Москва, Архангельский переулок, дом 7, строение 1;2
Центральный административный округ;Басманный район;город Москва, Астраханский переулок, дом 1/15;2
Центральный административный округ;район Хамовники;город Москва, Большой Афанасьевский переулок, дом 15, строение 9;2
Центральный административный округ;район Арбат;город Москва, Большой Афанасьевский переулок, дом 16/8;1
Центральный административный округ;район Арбат;город Москва, Большой Афанасьевский переулок, дом 22;2
Центральный административный округ;район Арбат;город Москва, Большой Афанасьевский переулок, дом 33;1
Центральный административный округ;район Арбат;город Москва, Большой Афанасьевский переулок, дом 41;3
Центральный административный округ;Басманный район;город Москва, Бакунинская улица, дом 14, строение 1;2
Центральный административный округ;Басманный район;город Москва, Бакунинская улица, дом 26-30, строение 1;2
Центральный административный округ;Басманный район;город Москва, Бакунинская улица, дом 8;1
Центральный административный округ;район Якиманка;город Москва, улица Балчуг, дом 1;2
Центральный административный округ;район Замоскворечье;город Москва, улица Балчуг, дом 5;3
Центральный административный округ;Басманный район;город Москва, Барашёвский переулок, дом 8/2, строение 4;1
Центральный административный округ;Пресненский район;город Москва, Баррикадная улица, дом 4, строение 3;2
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 10, строение 2;2
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 10, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Новая Басманная улица, дом 15, строение 1;1
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 2/1, строение 1;2
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 20, строение 1;2
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 25/2;3
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 31, строение 1;3
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 35, строение 1;1
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 4, строение 1;1
Центральный административный округ;Красносельский район;город Москва, Новая Басманная улица, дом 7;2
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 13, строение 1;2
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 22;1
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 23/9, строение 1;2
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 33;2
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 34;2
Центральный административный округ;Басманный район;город Москва, Старая Басманная улица, дом 38/2, строение 1;1
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 33/2, строение 1;4
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 42;2
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 48/13;2
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 56/17, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 1, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 17, строение 1;3
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 19, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 29;2
Центральный административный округ;район Замоскворечье;город Москва, улица Бахрушина, дом 31/12, строение 1;2
Западный административный округ;район Дорогомилово;город Москва, Беговая улица, дом 20, корпус 1;1
Северный административный округ;район Беговой;город Москва, Беговая улица, дом 22;8
Северный административный округ;район Беговой;город Москва, Беговая улица, дом 24;1
Центральный административный округ;Таганский район;город Москва, Берниковская набережная, дом 12, строение 1;3
Центральный административный округ;район Якиманка;город Москва, Берсеневская набережная, дом 8, строение 1;2
Центральный административный округ;район Якиманка;город Москва, Берсеневский переулок, дом 5, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Бобров переулок, дом 8, строение 10;2
Центральный административный округ;Пресненский район;город Москва, Богословский переулок, дом 16/6, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Богословский переулок, дом 3;2
Центральный административный округ;Пресненский район;город Москва, Богословский переулок, дом 5;2
Центральный административный округ;Пресненский район;город Москва, Богословский переулок, дом 8/15, строение 1;1
Центральный административный округ;Тверской район;город Москва, Богоявленский переулок, дом 2, строение 4;2
Центральный административный округ;район Якиманка;город Москва, Болотная улица, дом 18, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Зубовский бульвар, дом 17, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Зубовский бульвар, дом 2, сооружение 1;2
Центральный административный округ;район Хамовники;город Москва, Зубовский бульвар, дом 2, строение 7;3
Центральный административный округ;Басманный район;город Москва, Малый Ивановский переулок, дом 11/6, строение 1;1
Центральный административный округ;Басманный район;город Москва, Малый Ивановский переулок, дом 6/5, строение 1;3
Центральный административный округ;район Якиманка;город Москва, Кадашёвская набережная, дом 14, корпус 1;3
Центральный административный округ;район Замоскворечье;город Москва, Кадашёвская набережная, дом 36, строение 1;3
Центральный административный округ;Басманный район;город Москва, улица Казакова, дом 15;3
Центральный административный округ;район Якиманка;город Москва, Казанский переулок, дом 2-4;2
Центральный административный округ;район Якиманка;город Москва, Казанский переулок, дом 8;2
Центральный административный округ;Басманный район;город Москва, Казарменный переулок, дом 10, строение 2;2
Центральный административный округ;Красносельский район;город Москва, Каланчёвская улица, дом 11, строение 4;1
Центральный административный округ;Красносельский район;город Москва, Каланчёвская улица, дом 4/2, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Каланчёвский тупик, дом 3-5, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Калашный переулок, дом 2/10;2
Центральный административный округ;Пресненский район;город Москва, Калашный переулок, дом 4/1, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Никитский бульвар, дом 10;2
Центральный административный округ;район Арбат;город Москва, Калошин переулок, дом 6, строение 1;2
Центральный административный округ;Тверской район;город Москва, Калужская площадь, дом 1, сооружение 1;4
Центральный административный округ;район Якиманка;город Москва, Калужская площадь, дом 1, корпус 1;2
Центральный административный округ;Тверской район;город Москва, Камергерский переулок, дом 2;2
Центральный административный округ;Тверской район;город Москва, Большой Каретный переулок, дом 4, строение 7;2
Центральный административный округ;Тверской район;город Москва, Большой Каретный переулок, дом 6;1
Центральный административный округ;Тверской район;город Москва, Малый Каретный переулок, дом 14, строение 1;2
Центральный административный округ;район Арбат;город Москва, Карманицкий переулок, дом 3;2
Центральный административный округ;Пресненский район;город Москва, Нижний Кисловский переулок, дом 8/2, строение 2;2
Центральный административный округ;Таганский район;город Москва, Китайгородский проезд, дом 7, строение 5;4
Центральный административный округ;район Замоскворечье;город Москва, Климентовский переулок, дом 1, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Климентовский переулок, дом 14;2
Центральный административный округ;район Замоскворечье;город Москва, Климентовский переулок, дом 6;3
Центральный административный округ;Пресненский район;город Москва, Большой Козихинский переулок, дом 19/6;3
Центральный административный округ;Тверской район;город Москва, Козицкий переулок, дом 1А;2
Центральный административный округ;Басманный район;город Москва, Большой Козловский переулок, дом 9, строение 1;2
Центральный административный округ;Тверской район;город Москва, 1-й Колобовский переулок, дом 16, строение 1;2
Центральный административный округ;Тверской район;город Москва, 2-й Колобовский переулок, дом 2;3
Центральный административный округ;Мещанский район;город Москва, Колокольников переулок, дом 10;2
Центральный административный округ;Мещанский район;город Москва, Колокольников переулок, дом 15;1
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 1;1
Центральный административный округ;Таганский район;город Москва, Комсомольский проспект, дом 15, строение 1;1
Центральный административный округ;Таганский район;город Москва, Комсомольский проспект, дом 19;1
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 21/10;6
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 25, корпус 1;3
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 28;8
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 3;2
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 30;2
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 5/2;3
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 9А;2
Центральный административный округ;Пресненский район;город Москва, Конюшковская улица, дом 34, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, улица Коровий Вал, дом 3, строение 1;2
Центральный административный округ;Таганский район;город Москва, Котельническая набережная, дом 33, корпус 1;2
Центральный административный округ;Пресненский район;город Москва, улица Красина, дом 7, строение 1;2
Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 13;2
Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 28;2
Центральный административный округ;Пресненский район;город Москва, 1-й Красногвардейский проезд, дом 4, корпус А, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Гоголевский бульвар, дом 2;2
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 5/6, строение 8;2
Центральный административный округ;Басманный район;город Москва, улица Воронцово Поле, дом 11/32, строение 2;2
Центральный административный округ;Тверской район;город Москва, Воротниковский переулок, дом 11, строение 1;1
Центральный административный округ;Пресненский район;город Москва, Вспольный переулок, дом 16, строение 2;2
Центральный административный округ;Таганский район;город Москва, улица Высоцкого, дом 3, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Гагаринский переулок, дом 19/3;3
Центральный административный округ;район Хамовники;город Москва, Гагаринский переулок, дом 31;3
Центральный административный округ;район Хамовники;город Москва, Гагаринский переулок, дом 8А;2
Центральный административный округ;Тверской район;город Москва, Газетный переулок, дом 1/12;2
Центральный административный округ;Пресненский район;город Москва, Газетный переулок, дом 3-5, строение 1;1
Центральный административный округ;Пресненский район;город Москва, улица Гашека, дом 11;2
Центральный административный округ;Тверской район;город Москва, Георгиевский переулок, дом 3, строение 3;1
Центральный административный округ;район Арбат;город Москва, Глазовский переулок, дом 10, строение 2;2
Центральный административный округ;район Хамовники;город Москва, Гоголевский бульвар, дом 10, строение 1;2
Центральный административный округ;район Арбат;город Москва, Гоголевский бульвар, дом 25, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Гоголевский бульвар, дом 6, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, Голиковский переулок, дом 10, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Большой Головин переулок, дом 14;2
Центральный административный округ;Мещанский район;город Москва, Большой Головин переулок, дом 21;2
Центральный административный округ;Таганский район;город Москва, Гончарная улица, дом 23, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарная улица, дом 3, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарная улица, дом 7/4, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарный проезд, дом 8/40;2
Центральный административный округ;Пресненский район;город Москва, Гранатный переулок, дом 3, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 42;2
Центральный административный округ;Тверской район;город Москва, улица Грузинский Вал, дом 23-25, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Грузинский переулок, дом 8;1
Центральный административный округ;Басманный район;город Москва, Гусятников переулок, дом 3/1, строение 1;2
Центральный административный округ;Басманный район;город Москва, Гусятников переулок, дом 9;2
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 12/16;1
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 19;2
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 22;1
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 25-29, строение 1;1
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 6;2
Центральный административный округ;район Хамовники;город Москва, Денежный переулок, дом 3, строение 1;2
Центральный административный округ;Таганский район;город Москва, Динамовская улица, дом 9, строение 1;2
Центральный административный округ;Таганский район;город Москва, 2-й Динамовский переулок, дом 3;1
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 22, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 5/6, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 15;2
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 18, строение 1;1
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 23/15, строение 2;2
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 4;2
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 2;2
Центральный административный округ;Мещанский район;город Москва, Долгоруковская улица, дом 25;2
